n,msec,pos
# Quadrature Readout v0.1 26-March-2021 J.Beale
1542,18742,59
1543,18752,58
1544,18762,57
1545,18771,56
1546,18779,55
1547,18788,54
1548,18797,53
1549,18805,52
1550,18813,51
1551,18821,50
1552,18829,49
1553,18837,48
1554,18844,47
1555,18851,46
1556,18859,45
1557,18866,44
1558,18872,43
1559,18879,42
1560,18886,41
1561,18893,40
1562,18900,39
1563,18906,38
1564,18913,37
1565,18919,36
1566,18925,35
1567,18932,34
1568,18938,33
1569,18945,32
1570,18950,31
1571,18957,30
1572,18963,29
1573,18969,28
1574,18974,27
1575,18981,26
1576,18986,25
1577,18992,24
1578,18998,23
1579,19004,22
1580,19009,21
1581,19015,20
1582,19020,19
1583,19026,18
1584,19032,17
1585,19037,16
1586,19043,15
1587,19048,14
1588,19054,13
1589,19059,12
1590,19064,11
1591,19070,10
1592,19075,9
1593,19081,8
1594,19085,7
1595,19091,6
1596,19096,5
1597,19102,4
1598,19106,3
1599,19112,2
1600,19117,1
1601,19122,0
1602,19127,-1
1603,19132,-2
1604,19137,-3
1605,19143,-4
1606,19147,-5
1607,19153,-6
1608,19158,-7
1609,19163,-8
1610,19168,-9
1611,19173,-10
1612,19178,-11
1613,19183,-12
1614,19188,-13
1615,19193,-14
1616,19198,-15
1617,19203,-16
1618,19208,-17
1619,19213,-18
1620,19218,-19
1621,19223,-20
1622,19228,-21
1623,19233,-22
1624,19238,-23
1625,19243,-24
1626,19247,-25
1627,19252,-26
1628,19257,-27
1629,19263,-28
1630,19267,-29
1631,19272,-30
1632,19277,-31
1633,19282,-32
1634,19287,-33
1635,19292,-34
1636,19297,-35
1637,19302,-36
1638,19307,-37
1639,19312,-38
1640,19317,-39
1641,19322,-40
1642,19327,-41
1643,19332,-42
1644,19337,-43
1645,19342,-44
1646,19347,-45
1647,19352,-46
1648,19357,-47
1649,19362,-48
1650,19367,-49
1651,19372,-50
1652,19377,-51
1653,19382,-52
1654,19387,-53
1655,19392,-54
1656,19398,-55
1657,19403,-56
1658,19408,-57
1659,19413,-58
1660,19418,-59
1661,19424,-60
1662,19428,-61
1663,19434,-62
1664,19439,-63
1665,19445,-64
1666,19450,-65
1667,19455,-66
1668,19460,-67
1669,19466,-68
1670,19471,-69
1671,19477,-70
1672,19482,-71
1673,19488,-72
1674,19493,-73
1675,19499,-74
1676,19504,-75
1677,19510,-76
1678,19515,-77
1679,19521,-78
1680,19527,-79
1681,19533,-80
1682,19538,-81
1683,19544,-82
1684,19550,-83
1685,19557,-84
1686,19562,-85
1687,19568,-86
1688,19574,-87
1689,19581,-88
1690,19587,-89
1691,19593,-90
1692,19599,-91
1693,19606,-92
1694,19612,-93
1695,19619,-94
1696,19626,-95
1697,19632,-96
1698,19639,-97
1699,19646,-98
1700,19653,-99
1701,19660,-100
1702,19667,-101
1703,19674,-102
1704,19682,-103
1705,19689,-104
1706,19697,-105
1707,19705,-106
1708,19713,-107
1709,19721,-108
1710,19729,-109
1711,19737,-110
1712,19746,-111
1713,19756,-112
1714,19764,-113
1715,19774,-114
